,Date,Open,High,Low,Close,Volume,Ticker
0,2022-12-01,3187.989990234375,3198.409912109375,3164.530029296875,3165.469970703125,387000,000001.SS
1,2022-12-02,3160.580078125,3170.89990234375,3149.840087890625,3156.139892578125,307800,000001.SS
0,2022-12-01,2.312000036239624,2.3320000171661377,2.308000087738037,2.311000108718872,620519705,159915.SZ
1,2022-12-02,2.309999942779541,2.3389999866485596,2.302000045776367,2.315999984741211,438405490,159915.SZ
